履歴を	表示
投じられていた	ことも
ことも	判明している
判明している	[244]
2024年	10月
10月	採択されており
労働力の	補完を
補完を	した
目的と	した
した	LLMの
LLMの	構築等を
構築等を	名目に
名目に	採択されており
経済産業省および	採択されており
国立研究開発法人新エネルギー産業技術総合開発機構	NEDOの
NEDOの	国内生成AIの
国内生成AIの	開発力強化プロジェクトの
開発力強化プロジェクトの	GENIACに
GENIACに	採択されており
採択されており	[244]
総額	約7.9億円分の
約7.9億円分の	資金提供と
資金提供と	助成を
データセット構築の	ための
ための	助成を
助成を	受けている
受けている	[244]
ビッグテックの	寡占独占関連
商用AIの	分野は
分野は	248][249]。
Alphabet	Amazon
Amazon	Apple
Apple	Meta
Meta	マイクロソフトなどの
マイクロソフトなどの	大手テック企業によって
大手テック企業によって	支配されている
支配されている	[
[	245][246][247]。これらの
245][246][247]。これらの	企業の
企業の	中には
中には	あり
データセンターの	既存の
既存の	クラウドインフラと
クラウドインフラと	計算資源の
計算資源の	大部分を
大部分を	占有している
占有している	企業も
企業も	あり
あり	248][249]。
市場での	地位を
地位を	固める
さらに	固める
固める	ことが
ことが	できる
できる	248][249]。
[	248][249]。
人類の	存続への
存続への	リスク
詳細は	参照
汎用人工知能による	人類滅亡の
人類滅亡の	リスクを
リスクを	参照
将来	ある
人工知能が	強力になり
非常に	強力になり
強力になり	制御できなくなる
人類が	制御できなくなる
制御できなくなる	可能性が
可能性が	ある
ある	[250]。
物理学者の	スティーブンホーキングが
スティーブンホーキングが	述べたように
述べたように	ある
人工知能が	もたらす
人類に	もたらす
終焉を	もたらす
もたらす	可能性が
可能性が	ある
ある	[250]。
なお	深刻なのである
人工知能が	敵対する
人類に	敵対する
敵対する	シナリオは
シナリオは	もので
SFでは	もので
よく	ある
ある	もので
もので	ストーリーだが
コンピューターや	ロボットが
ロボットが	人間のような
突然	人間のような
人間のような	意識が
自意識(「感覚または	意識が
意識が	目覚め
目覚め	なるというのが
悪意の	ある
ある	存在と
存在と	なるというのが
なるというのが	ストーリーだが
お決まりの	ストーリーだが
ストーリーだが	深刻なのである
このような	ストーリーは
ストーリーは	深刻なのである
いくつかの	点で
点で	招く
誤解を	招く
招く	[注釈
[注釈	8]。事態は
8]。事態は	深刻なのである
SF作家が	想像していた
想像していた	ものより
ものより	深刻なのである
もっと	深刻なのである
まず	ある
人工知能は	ある
人間のような	自意識を
自意識を	持たなくても
持たなくても	絶滅させる
人類を	絶滅させる
絶滅させる	リスクが
リスクが	ある
ある	達成する
特定の	目標が
目標が	与えられた
与えられた	人工知能は
人工知能は	達成する
学習と	知性を
知性を	使用して
使用して	達成する
目標を	達成する
達成する	[254]。
哲学者の	ニック・ボストロムは
ニック・ボストロムは	[254]。
十分に	強力な
強力な	AIに
AIに	与えた
どのような	目標を
目標を	与えた
与えた	場合でも
場合でも	選択する
それを	達成する
達成する	ために
ために	絶滅させる
人類を	絶滅させる
絶滅させる	ことを
ことを	選択する
選択する	可能性が
可能性が	あると
あると	主張した
主張した	ボストロムは
ボストロムは	[254]。
クリップ工場の	管理者の
管理者の	例を
例を	使用した
使用した	）[
）[	252]。スチュアートラッセルは
252]。スチュアートラッセルは	[254]。
私の	任務は
任務は	こと
コーヒーを	取りに
取りに	行く
行く	こと
こと	実行できないと
電源が	なくなり
なくなり	停止してしまったら
停止してしまったら	実行できないと
任務を	実行できないと
実行できないと	推論して
推論して	抜かれないようにする
コンセントを	抜かれないようにする
抜かれないようにする	ために
ために	殺す
所有者を	殺す
殺す	方法を
方法を	見つけようとする
見つけようとする	家庭用ロボットの
家庭用ロボットの	例を
例を	挙げた
挙げた	[
[	253]。人類にとって
253]。人類にとって	なる
超知性が	なる
基本的に	側と
我々の	側と
側と	なる
なる	ためには
ためには	[254]。
人類の	価値観と
道徳と	価値観と
価値観と	一致していなければならない
真に	一致していなければならない
一致していなければならない	[254]。
教育への	AI導入は
AI導入は	[255]。
批判的思考	創造的思考
創造的思考	人格能力などの
人格能力などの	低下を
低下を	招く
招く	危惧も
危惧も	ある
ある	[255]。
ユヴァル・ノア・ハラリは	指摘する
AIは	指摘する
物理的な	物理的制御抜きでも
ロボット筐体や	物理的制御抜きでも
物理的制御抜きでも	なると
人類存続の	リスクと
リスクと	なると
なると	指摘する
指摘する	信じているからである
文明の	部分は
本質的な	部分は
部分は	信じているからである
物理的な	ものではなく
ものではなく	信じているからである
イデオロギー	法律
法律	政府
政府	貨幣
貨幣	経済などは
経済などは	構築されており
言語に	基づいて
基づいて	構築されており
構築されており	信じているからである
それらが	機能するのは
機能するのは	信じているからである
何十億人もの	人々が
人々が	信じているからである
その	物語を
物語を	信じているからである
信じているからである	[256]。
現在の	誤った
誤った	情報の
情報の	蔓延は
蔓延は	[256]。
人工知能が	使用して
言語を	使用して
使用して	信じ込ませ
人々に	ろくでもない
何か	ろくでもない
ろくでもない	ことを
ことを	信じ込ませ
信じ込ませ	取らせる
さらには	取らせる
破壊的な	行動を
行動を	取らせる
取らせる	可能性が
可能性が	ある
ある	ことを
ことを	示唆している
示唆している	[256]。
スティーブンホーキング	ビルゲイツ
ビルゲイツ	イーロン・マスクなどの
イーロン・マスクなどの	著名人
著名人	ヨシュア・ベンジオ
ヨシュア・ベンジオ	スチュアートラッセル
スチュアートラッセル	デミス・ハサビス
デミス・ハサビス	サムアルトマンなどの
サムアルトマンなどの	AI関係者も
AI関係者も	[257]。
AIが	与える
人類存続に	与える
与える	リスクについて
リスクについて	表明している
懸念を	表明している
表明している	[257]。
2023年	5月
5月	ジェフリーヒントンは
ジェフリーヒントンは	[260]。
人工知能が	与えるかを
Googleに	与えるかを
どのような	影響を
影響を	与えるかを
与えるかを	考慮する
考慮する	こと
こと	なく
なく	発表した
人工知能の	リスクについて
リスクについて	発言できるようにする
自由に	発言できるようにする
発言できるようにする	ために
ために	発表した
Googleを	辞任する
辞任する	ことを
ことを	発表した
発表した	[258]。ヒントンは
[258]。ヒントンは	[260]。
特に	鳴らした
AIによる	乗っ取りの
乗っ取りの	リスクについて
リスクについて	鳴らした
警鐘を	鳴らした
鳴らした	[259]。また
[259]。また	[260]。
最悪の	結果を
結果を	避ける
避ける	ために
ために	強調した
安全性ガイドラインの	確立を
確立を	行い
行い	強調した
AIの	使用において
使用において	競合する
競合する	関係者間の
関係者間の	協力が
協力が	必要であると
必要であると	強調した
強調した	[260]。
2023年	支持した
多くの	AI専門家が
主要な	AI専門家が
AI専門家が	軽減する
AIによる	人類絶滅の
人類絶滅の	リスクを
リスクを	軽減する
軽減する	ことは
ことは	優先事項であるべきであるという
パンデミックや	核戦争などの
核戦争などの	他の
他の	社会規模の
社会規模の	リスクと
リスクと	並んで
並んで	優先事項であるべきであるという
世界的な	優先事項であるべきであるという
優先事項であるべきであるという	共同声明を
共同声明を	支持した
支持した	[261]。
研究者の	中には
中には	おり
楽観的な	見方を
見方を	する
する	ものも
ものも	おり
おり	[268]。
ユルゲン・シュミットフーバー	英語版は
英語版は	署名せず
共同声明に	署名せず
署名せず	述べた
すべての	ケースの
ケースの	95%において
95%において	述べた
AI研究は	していると
人間の	生活を
生活を	長くより
より	長くより
長くより	健康に
健康に	楽にする
より	楽にする
楽にする	ことを
ことを	していると
目的と	していると
していると	強調し
強調し	262]、悪意ある
[	262]、悪意ある
262]、悪意ある	使われ方だけでなく
使われ方だけでなく	されているとして
善用も	されているとして
されているとして	述べた
脅威アクターに	対抗する
対抗する	ために
ために	使う
使う	ことも
ことも	できると
できると	述べた
述べた	[268]。
[	263][264]。アンドリューンもまた
263][264]。アンドリューンもまた	[268]。
終末論に	陥るのは
陥るのは	だと
間違い	だと
だと	主張した
主張した	[265]。ヤン・ルカンは
[265]。ヤン・ルカンは	[268]。
誤った	情報が
情報が	供給され
過剰に	供給され
供給され	滅亡するという
最終的には	滅亡するという
人類が	滅亡するという
滅亡するという	同業者らの
同業者らの	ディストピア的シナリオを
ディストピア的シナリオを	嘲笑している
嘲笑している	[
[	266]。2010年代
266]。2010年代	初頭
初頭	[268]。
専門家らは	[268]。
研究を	正当化するには
正当化するには	あるだろうと
リスクが	遠すぎるあるいは
遠すぎるあるいは	あるだろうと
超知能機械の	観点から
観点から	あるだろうと
人間は	あるだろうと
価値が	あるだろうと
あるだろうと	主張した
主張した	267]。しか
[	267]。しか
267]。しか	し
し	なった
2016年以降	なった
現在および	将来の
将来の	リスクと
リスクと	考えられる
考えられる	解決策の
解決策の	研究が
研究が	なった
本格的な	研究分野と
研究分野と	なった
なった	[268]。
欧州以外の	世界各国の
世界各国の	規制については
規制については	参照
en:Regulationofartificialintelligenceを	参照
ゲイリーマーカスは	[156]。
偽情報の	各種の
氾濫や	ディープフェイク
ディープフェイク	各種の
各種の	知的財産権侵害といった
知的財産権侵害といった	リスクを
大きな	リスクを
リスクを	伴う
伴う	AI技術には
AI技術には	必要であり
強行性を	もった
もった	法規制が
法規制が	必要であり
必要であり	もたらすといった
規制が	もたらすといった
技術革新に	もたらすといった
悪影響を	もたらすといった
もたらすといった	反対意見に対しては
反対意見に対しては	[156]。
むしろ	重要であり
新技術の	発展には
発展には	重要であり
規制が	重要であり
重要であり	あると
電気	ガス
ガス	水道
水道	金融
金融	保険
保険	海運
海運	陸運などの
陸運などの	産業が
産業が	発展した
先進国で	発展した
発展した	背景には
背景には	あると
技術の	進歩に
進歩に	併せて
併せて	避ける
混乱を	避ける
避ける	ための
ための	法規制を
法規制を	行った
行った	ことが
ことが	あると
あると	している
している	[156]。
しかし	[156]。
現状の	AI規制は
AI規制は	不十分であり
不十分であり	あると
AIに対する	法規制が
適切な	法規制が
法規制が	行われない
行われない	背景には
背景には	あると
AI企業による	天下りの
ロビー活動や	天下りの
天下りの	受け入れが
受け入れが	あると
あると	される
される	[156]。
つまり	[156]。
投資家に	コントロールされた
コントロールされた	AI関連識者の
AI関連識者の	ネットワークが
ネットワークが	有しており
政府に	有しており
強い	影響力を
影響力を	有しており
有しており	指摘されている
AIを	位置付ける
最重要課題に	位置付ける
位置付ける	よう
よう	かけ
議員に	かけ
圧力を	かけ
かけ	指摘されている
結果的に	得ている
AI企業が	得ている
利益を	得ている
得ている	構図が
構図が	指摘されている
指摘されている	[156]。
議員には	いない
AI技術に関する	知見を
確固たる	知見を
知見を	持った
持った	人材が
人材が	いない
ほとんど	いない
いない	ため
ため	できていない
規制に	反対する
反対する	テック企業の
テック企業の	主張を
主張を	しがちで
鵜呑みに	しがちで
しがちで	できていない
自主的な	報告義務ばかりで
ガイドラインや	報告義務ばかりで
報告義務ばかりで	ある
実効性の	ある
ある	法規制が
法規制が	できていない
できていない	現状が
現状が	ある
ある	[156]。
EUの	法規制は
法規制は	破綻しかけたが
一時期	破綻しかけたが
フランスの	マクロン大統領の
マクロン大統領の	横槍により
横槍により	破綻しかけたが
破綻しかけたが	あった
背景には	あった
AI企業ミストラル社に	天下った
天下った	フランス政府の
フランス政府の	関係者の
関係者の	働きかけが
働きかけが	あった
あった	ものだった
ほかにも	独占されがちであり
AI関連の	政府会議は
政府会議は	独占されがちであり
一部の	利害関係者で
利害関係者で	独占されがちであり
独占されがちであり	ものだった
例として	ものだった
欧州委員会の	会議の
会議の	97回の
97回の	うち
うち	84回は
84回は	ものだった
企業団体や	事業者団体と
事業者団体と	ものだった
ものだった	[156]。
公正な	政策実現の
政策実現の	ためには
ためには	参加させるべきと
独立した	立場の
立場の	科学者や
科学者や	利害関係者を
市民社会の	利害関係者を
利害関係者を	参加させるべきと
参加させるべきと	指摘されている
指摘されている	[156]。
世界初の	AI規制法と
包括的な	AI規制法と
AI規制法と	言われる
言われる	AI法(別称:AI規則)が
AI法(別称:AI規則)が	成立している
2024年に	成立している
欧州連合(EU)で	成立している
成立している	[269]。AI法では
[269]。AI法では	域外適用)[274]。
AIシステムを	応じて
有害リスク度に	応じて
応じて	1)許容できない
(	1)許容できない
1)許容できない	リスク
リスク	2)高リスク
(	2)高リスク
2)高リスク	3)限定的な
(	3)限定的な
3)限定的な	リスク
リスク	4)最小限の
(	4)最小限の
4)最小限の	リスクの
リスクの	4レベルに
4レベルに	分類して
分類して	異なる
異なる	義務を
規制や	義務を
義務を	課す
課す	[
[	270][271]。違反時には
270][271]。違反時には	[272]。また
レベルごとに	異なる
異なる	制裁金が
制裁金が	科される
科される	[272]。また
[272]。また	域外適用)[274]。
生成AIを	指す
主に	指す
指す	汎用AIモデルに
汎用AIモデルに	かけている
追加の	特別規制を
特別規制を	かけている
かけている	[273]。仮に
[273]。仮に	設立された
日本や	米国などの
米国などの	EU域外で
EU域外で	設立された
設立された	他国民が
団体や	他国民が
他国民が	開発した
開発した	AIでも
AIでも	販売利用されれば
それが	輸入されて
EU域内に	輸入されて
輸入されて	販売利用されれば
販売利用されれば	なる
AI法下の	規制対象に
規制対象に	なる
なる	域外適用)[274]。
(いわゆる	域外適用)[274]。
さらに	遵守する
AI法以前に	遵守する
成立済の	関連法令も
関連法令も	遵守する
同時に	遵守する
遵守する	ことが
ことが	求められ
求められ	挙げられる
[	275]、特に
275]、特に	挙げられる
DSM著作権指令や	EU一般データ保護規則(略称:GDPR)が
EU一般データ保護規則(略称:GDPR)が	挙げられる
AI法と	関連性の
関連性の	高い
高い	EU法令として
EU法令として	挙げられる
2019年	成立の
成立の	DSM著作権指令では
DSM著作権指令では	適法化されている
AI学習データ収集目的の	データマイニング(略称:TDM)が
テキストおよび	データマイニング(略称:TDM)が
データマイニング(略称:TDM)が	適法化されている
適法化されている	276][277][278]。
しかし	276][277][278]。
著作権者が	拒否する
DSM著作権指令と	AI規則の
AI規則の	規定に
規定に	基づく
基づく	形式で
機械読み取り可能な	形式で
形式で	拒否する
無断データ収集を	拒否する
拒否する	意思表明を
意思表明を	した
した	場合
場合	なりうる
AIの	データセット収集提供は
データセット収集提供は	なりうる
著作権侵害に	なりうる
なりうる	クネシュケ対LAION事件である
これらの	条文解釈を
条文解釈を	巡って
巡って	争われているのが
法廷で	争われているのが
争われているのが	クネシュケ対LAION事件である
ドイツの	クネシュケ対LAION事件である
クネシュケ対LAION事件である	276][277][278]。
当事件は	276][277][278]。
世界初の	AI訴訟の
本格的な	AI訴訟の
AI訴訟の	判決であり
判決であり	276][277][278]。
欧州だけでなく	世界的に
世界的に	注目されている
注目されている	[
[	276][277][278]。
2016年	成立の
成立の	GDPRは
GDPRは	[279]。
個人データ保護の	保護水準が
保護水準が	高く
高く	[279]。
一部AIが	[279]。
EU市場への	サービス提供を
サービス提供を	断念するあるいは
断念するあるいは	米国Meta社(旧Facebook社)は
機能を	制限する
制限する	対応を
対応を	とっている
とっている	[279]。たとえば
[279]。たとえば	米国Meta社(旧Facebook社)は
米国Meta社(旧Facebook社)は	[279]。
開発中の	マルチモーダルAI
マルチモーダルAI	英語版(MultimodalAI)を
英語版(MultimodalAI)を	提供しない
EU市場向けに	提供しない
提供しない	方針を
方針を	明かしている
2024年	7月(AI法の
7月(AI法の	発効前月)に
発効前月)に	明かしている
明かしている	[
[	280][281]。Appleも
280][281]。Appleも	同様に
同様に	求めている
プライバシー保護や	データセキュリティ上の
データセキュリティ上の	懸念から
懸念から	発表されている
同社AIの	一部機能を
一部機能を	提供しない
EU市場向けに	提供しない
提供しない	旨が
旨が	発表されている
AI法発効	2か月前に
2か月前に	発表されている
発表されている	[281]。AI法は
[281]。AI法は	求めている
GDPRなどの	既存法の
既存法の	遵守も
遵守も	求めている
同時に	求めている
求めている	ことから
ことから	なりうるとの
EU域外の	事業者にとっては
事業者にとっては	なりうるとの
EUへの	展開の
展開の	障壁と
障壁と	なりうるとの
なりうるとの	指摘も
指摘も	ある
ある	[279]。
また	[282]。
AIの	能力の
能力の	源泉とも
源泉とも	言える
言える	データ関連では
データ関連では	問題認識されている
ビッグテックによる	データの
データの	集中独占が
集中独占が	問題認識されている
法的にも	問題認識されている
EUで	問題認識されている
問題認識されている	[282]。
独占禁止の	文脈で
文脈で	成立しており
デジタル市場法が	成立しており
2022年に	成立しており
成立しており	[282]。
大規模事業者名を	指定して
具体的に	指定して
指定して	かけている
追加規制を	かけている
かけている	[282]。
哲学と	AI
Googleは	[283]。
2019年	3月
3月	設置すると
人工知能プロジェクトを	指導する
倫理面で	指導する
指導する	ために
ために	構成される
哲学者政策立案者経済学者テクノロジスト等で	構成される
構成される	設置すると
AI倫理委員会を	設置すると
設置すると	発表した
発表した	[283]。
[	283]。しかし
283]。しかし	含まれており
倫理委員会には	含まれており
反科学反マイノリティ・地球温暖化懐疑論等を	支持する
支持する	人物も
人物も	含まれており
含まれており	[283]。
Google社員らは	[283]。
解任を	要請した
要請した	[
[	283]。4月4日
283]。4月4日	[283]。
Googleは	[283]。
倫理委員会が	[283]。
期待どおりに	機能できない
機能できない	ことが
ことが	判明したという
判明したという	理由で
理由で	[283]。
委員会の	解散を
解散を	発表した
発表した	[283]。
東洋哲学を	吸収させるという
AIに	吸収させるという
吸収させるという	三宅陽一郎の
三宅陽一郎の	テーマに
テーマに	応じて
応じて	[284]。
井口尊仁は	挙げ
鳥居TORIIという	自分の
自分の	プロジェクトを
プロジェクトを	挙げ
挙げ	[284]。
われわれは	アニミズムで
アニミズムで	ありますと
あらゆる	ものに
ものに	見いだす
霊的存在を	見いだす
見いだす	文化が
文化が	ありますと
ありますと	語る
三宅および	立石従寛に
立石従寛に	語る
語る	[
[	284]。アニミズム的人工知能論は
284]。アニミズム的人工知能論は	[284]。
現代アートや	哲学塾東洋哲学篇にも
禅の	悟りを
悟りを	やって
どう	やって
やって	やらせるかを
AIに	やらせるかを
やらせるかを	論じた
論じた	三宅の
三宅の	哲学塾東洋哲学篇にも
人工知能の	ための
ための	哲学塾東洋哲学篇にも
哲学塾東洋哲学篇にも	通じている
通じている	[284]。
元Googleエンジニアの	アンソニーレバンドウスキーは
アンソニーレバンドウスキーは	[285]。
2017年	[285]。
AIを	する
神と	する
する	宗教団体
宗教団体	道を
WayoftheFuture	道を
未来の	道を
道を	創立している
創立している	[285]。団体の
[285]。団体の	使命は
使命は	表現されており
人工知能	AIに
AIに	基づいた
基づいた	Godheadの
Godheadの	実現を
実現を	促進し
促進し	開発する
開発する	ことそして
ことそして	ことと
Godheadの	理解と
理解と	崇拝を通して
崇拝を通して	良くする
社会を	良くする
より	良くする
良くする	ことに
ことに	貢献する
貢献する	ことと
ことと	表現されており
抽象的に	表現されており
表現されており	[285]。
多くの	海外メディアは
海外メディアは	[285]。
SF映画や	歴史などと
歴史などと	関連付けて
関連付けて	報道した
報道した	Googleの
[285]。Uberと	Googleの
Googleの	Waymoは
Waymoは	[285]。
レバンドウスキーが	盗用した
自動運転に関する	機密情報を
機密情報を	盗用した
盗用した	ことを
ことを	訴え
訴え	行っている
裁判を	行っている
行っている	一方
一方	[285]。
レバンドウスキーは	[285]。
Uberの	元CEO
元CEO	発言するなど
トラビスカラニックに対し	発言するなど
ボット	ひとつずつ
ひとつずつ	征服するんだと
我々は	征服するんだと
世界を	征服するんだと
征服するんだと	発言するなど
発言するなど	振る舞いを
野心的な	振る舞いを
振る舞いを	示している
示している	[285]。
発明家レイカーツワイルが	言うには
言うには	287][288]。
哲学者ジョンサールが	提起した
提起した	AIの
強い	AIの
AIと	弱い
弱い	AIの
AIの	論争は
論争は	287][288]。
AIの	哲学議論で
哲学議論で	よると
ホットな	話題である
話題である	[286]。哲学者ジョンサールおよび
[286]。哲学者ジョンサールおよび	ダニエル・デネットに
ダニエル・デネットに	よると
よると	287][288]。
サールの	部屋や
中国語の	部屋や
部屋や	中国脳といった
ネドブロックらの	中国脳といった
中国脳といった	機能主義に
機能主義に	批判的な
批判的な	思考実験は
思考実験は	287][288]。
真の	意識が
意識が	実現できないと
形式論理システムによって	実現できないと
実現できないと	主張している
主張している	[
[	287][288]。
2021年の	メタ分析に
メタ分析に	よれば
よれば	[289]。
人工知能の	設計は
設計は	ものであり
もちろん	学際的な
学際的な	ものであり
ものであり	[289]。
感覚の	限界による
限界による	偏見を
偏見を	避けるように
避けるように	注意しながら
注意しながら	理解すべきである
宇宙の	物質や
さまざまな	物質や
物質や	特性を
生物の	特性を
特性を	理解すべきである
理解すべきである	[289]。
脳神経の	カオス性による
カオス性による	問題
生命情報科学者神経科学者の	合原一幸編著
合原一幸編著	創られるに
人工知能は	創られるに
こうして	創られるに
創られるに	よれば
よれば	[291]。
AIの	発展に
急激な	発展に
発展に	伴って
伴って	論じられているが
技術的特異点	シンギュラリティの
シンギュラリティの	哲学が
思想や	哲学が
哲学が	論じられているが
一部で	論じられているが
論じられているが	[291]。
特異点と	言っても
言っても	[291]。
数学的な	話ではない
話ではない	[
[	290]。前掲書は
290]。前掲書は	[291]。
そもそも	定義できていないと
シンギュラリティと	関係した
関係した	議論における
議論における	超えるという
人間の	脳を
脳を	超えるという
超えるという	言明自体が
言明自体が	定義できていないと
うまく	定義できていないと
定義できていないと	記している
記している	[291]。
確かに	[293]。
脳を	捉える
デジタル情報処理システムとして	捉える
捉える	観点から
観点から	見れば
見れば	[293]。
シンギュラリティは	起こり得るかもしれない
起こり得るかもしれない	[293]。
[	292]。しかし
292]。しかし	[293]。
実際の	脳は
脳は	[293]。
そのような	システムではなく
単純な	システムではなく
システムではなく	ハイブリッド系である
デジタルと	アナログが
アナログが	融合した
融合した	ハイブリッド系である
ハイブリッド系である	ことが
ことが	よると
脳神経科学の	観察結果で
観察結果で	示されている
示されている	[292]。前掲書に
[292]。前掲書に	よると
よると	[293]。
神経膜では	存在し
様々な	ノイズが
ノイズが	存在し
存在し	生み出されている
この	ノイズ付きの
ノイズ付きの	アナログ量によって
アナログ量によって	生み出されている
脳内の	ニューロンの
ニューロンの	カオスが
カオスが	生み出されている
生み出されている	ため
ため	[293]。
このような	状況を
状況を	記述する
デジタルで	記述する
記述する	ことは
ことは	困難と
極めて	困難と
困難と	考えられている
考えられている	[293]。
人工システムの	他律性による
他律性による	問題
人間に	設計された
設計された	人工知能などの
人工知能などの	機構は
機構は	他律システムであり
本質的に	他律システムであり
他律システムであり	行っているわけではない
設計の	範囲内でしか
範囲内でしか	動作できず
動作できず	行っているわけではない
自発的な	判断行動を
判断行動を	行っているわけではない
行っているわけではない	ため
ため	不明である
過去の	事例に
事例に	制限されている
制限されている	[294]。他律システムは
[294]。他律システムは	不明である
設計の	範囲外に
範囲外に	ある
ある	未知の
未知の	状況には
状況には	対応できず
対応できず	繰り返すようになる
時間が	経過するとともに
経過するとともに	沿わない
設計当初からの	環境の
環境の	変化に
変化に	沿わない
沿わない	処理を
不適切な	処理を
処理を	繰り返すようになる
繰り返すようになる	可能性が
可能性が	ある
ある	なる
であるからこそ	なる
人間による	システムの
システムの	更新が
管理や	更新が
更新が	必要と
必要と	なる
なる	不明である
他律システムの	限界を
限界を	超越する
超越する	システム論
新しい	システム論
システム論	オートポイエーシスなどで
オートポイエーシスなどで	続いているが
議論が	続いているが
続いているが	不明である
誰に	設計されるわけでもなく
設計されるわけでもなく	登場し
地球上に	登場し
登場し	遂げた
未知の	環境変化にも
環境変化にも	適応しながら
適応しながら	遂げた
進化を	遂げた
遂げた	生命が
生命が	持つような
持つような	真の
真の	自律性を
自律性を	コード化できるかは
コード化できるかは	不明である
不明である	考えられ得る
ただし	考えられ得る
人間も	従う
物理現象に	従う
従う	他律システムだと
他律システムだと	考えられ得る
西垣通が	獲得する
AI原論などの	書籍で
書籍で	獲得する
他者により	設計される
設計される	他者に
つまり	他者に
他者に	律される人工知能が
律される人工知能が	獲得する
真の	自律性を
自律性を	獲得する
獲得する	ことは
ことは	なく
なく	動作できない
技術的特異点の	端緒と
端緒と	なる
なる	人工知能の
再帰的な	人工知能の
人工知能の	改良の
改良の	機能についても
機能についても	行われた
他者により	行われた
行われた	設計の
設計の	範囲内でしか
範囲内でしか	動作できない
動作できない	ため
ため	[296]。
再帰的な	改良後に
改良後に	ある
意味の	ある
ある	動作が
動作が	保たれる
保たれる	保証が
保証が	ない
ない	ことや
ことや	可能性が
人工知能に	切ると
頼り	切ると
切ると	生じる
社会の	硬直化を
硬直化を	含む
含む	問題が
様々な	問題が
問題が	生じる
生じる	可能性が
可能性が	ある
ある	ことを
ことを	繰り返し
繰り返し	指摘している
指摘している	[
[	295]。併せて
295]。併せて	[296]。
西垣通は	[296]。
汎用人工知能で	代替する
人間を	代替する
完全に	代替する
代替する	方向性ではなく
方向性ではなく	模索するべきと
特化型人工知能と	人間が
人間が	共働する
共働する	方向性を
方向性を	模索するべきと
模索するべきと	主張している
主張している	[296]。
文学フィクションSF	空想科学
詳細は	参照
フィクションにおける	人工知能を
人工知能を	参照
[脚注の	使い方]
詳細は	参照
人工知能§CITEREF佐藤2018を	参照
^工学	エンジニアリングは
エンジニアリングは	[15]。
数学化学物理学などの	基礎科学を
基礎科学を	応用する
工業生産に	応用する
応用する	学問[
学問[	14]。電子情報通信学会で
14]。電子情報通信学会で	述べた
工学博士の	仙石正和が
仙石正和が	述べた
述べた	定義では
定義では	[15]。
工学	Engineeringとは
Engineeringとは	活動だと
数学	知識を
自然科学の	知識を
知識を	用いて
用いて	守り
健康と	安全を
安全を	守り
守り	行い
文化的	社会的及び
社会的及び	環境的な
環境的な	考慮を
考慮を	行い
行い	行う
人類の	ために
ために	行う
forthebenefitofhumanity	設計
設計	開発
開発	イノベーションまたは
イノベーションまたは	解決を
解決を	行う
行う	活動だと
活動だと	されている
されている	[15]。
^	[23]。
じんこうちのう	コンピューターシステム
人工知能	人間の
人間の	知的能力を
知的能力を	実現する
コンピューター上で	実現する
実現する	コンピューターシステム
さまざまな	コンピューターシステム
技術や	ソフトウェア
ソフトウェア	コンピューターシステム
コンピューターシステム	ある
人間が	使っている
日常的に	使っている
使っている	言語を
言語を	取り扱う
取り扱う	自然言語処理
自然言語処理	翻訳を
翻訳を	行ったり
自動的に	行ったり
行ったり	支援したりする
翻訳を	支援したりする
支援したりする	機械翻訳
機械翻訳	エキスパートシステム
特定分野の	専門家の
専門家の	判断を
推論や	判断を
判断を	模倣する
模倣する	エキスパートシステム
エキスパートシステム	画像認識などの
画像データを	解析して
解析して	抽出したりする
特定の	パターンを
パターンを	検出したり
検出したり	抽出したりする
抽出したりする	画像認識などの
画像認識などの	応用例が
応用例が	ある
ある	[23]。
し	ごしょり
ぜんげん	ごしょり
ごしょり	総称
自然言語処理	総称
人間が	使っている
日常的に	使っている
使っている	自然言語を
自然言語を	取り扱う
コンピューターで	取り扱う
取り扱う	技術の
技術の	総称
総称	かな漢字変換機械翻訳構文解析など
日本語の	かな漢字変換機械翻訳構文解析など
かな漢字変換機械翻訳構文解析など	[24]。
^以下は	原文
Inconclusion,AIhasmadegreatprogressinitsshorthistory,butthefinalsentencebutthefinalsentenceofAlanTurings(	1950)essayonComputingMachineryandIntelligenceisstillvalidtoday:
butwecanseethatmuchremainstobedone.[	17]
^IncludingJonKleinberg(CornellUniversity),SendhilMullainathan(UniversityofChicago),CynthiaChouldechova(CarnegieMellon)andSamCorbett-Davis(Stanford)[	200]
^これは	.[218]
国連の	定義で
定義で	.[218]
地雷なども	含む
含む	ものである
ものである	.[218]
^Seetable	4;9%isboththeOECDaverageandtheU.S.average.[
4;9%isboththeOECDaverageandtheU.S.average.[	229]
^Sometimescalleda"robopocalypse"[	251]
^abc佐藤2018,p.	人工知能.
^ASCII.jp	2018,p.
2018,p.	人工知能.
^桃内	2017,p.
2017,p.	人工知能.
^Woo,Elaine(	2011年
2011年	10月28日).
10月28日).	84;thefatherofartificialintelligence.LosAngelesTimes
JohnMcCarthydiesat	84;thefatherofartificialintelligence.LosAngelesTimes
^人工知能学会	人工知能学大事典共立出版
人工知能学大事典共立出版	2017年
2017年	978-4320124202
ISBN	978-4320124202
^小林美亜	石川翔吾
石川翔吾	上野秀樹
上野秀樹	竹林洋一
竹林洋一	0300-9173
2.人工知能学に	基づく
基づく	認知機能の
認知機能の	低下に
